class	subclass	code	code_desc
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	C36	Married sons/daughters of U.S. citizens, adjustments, conditional
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	B36	Married sons/daughters of U.S. citizens, adjustments, self petitioning
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	A32	Spouses of A31 or A36, new arrivals
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	A37	Spouses of A31 or A36, adjustments
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	F32	Spouses of married sons/daughters of U.S. citizens, new arrivals
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	F37	Spouses of married sons/daughters of U.S. citizens, adjustments
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	C32	Spouses of C31 or C36, new arrivals, conditional
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	C37	Spouses of married sons/daughters of U.S. citizens, adjustments, conditional
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	B32	Spouses of B31 or B36, new arrivals
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	B37	Spouses of B31 or B36, adjustments
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	A33	Children of A31 or A36, subject to country limits, new arrivals
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	A38	Children of A31 or A36, subject to country limits, adjustments
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	F33	Children of married sons/daughters of U.S. citizens, new arrivals
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	F38	Children of married sons/daughters of U.S. citizens, adjustments
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	C33	Children of C31 or C36, subject to country limits, new arrivals, conditional
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	C38	Children of C31 or C36, subject to country limits, adjustments, conditional
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	B33	Children of B31 or B36, subject to country limits, new arrivals
Family-sponsored preferences	Third: Married sons/daughters of U.S. citizens and their spouses and children	B38	Children of B31 or B36, subject to country limits, adjustments

Family-sponsored preferences	Fourth: Brothers/sisters of U.S. citizens (at least 21 years of age) and their spouses and children	F41	Brothers/sisters of U.S. citizens, new arrivals
Family-sponsored preferences	Fourth: Brothers/sisters of U.S. citizens (at least 21 years of age) and their spouses and children	F46	Brothers/sisters of U.S. citizens, adjustments
Family-sponsored preferences	Fourth: Brothers/sisters of U.S. citizens (at least 21 years of age) and their spouses and children	F42	Spouses of brothers/sisters of U.S. citizens, new arrivals
Family-sponsored preferences	Fourth: Brothers/sisters of U.S. citizens (at least 21 years of age) and their spouses and children	F47	Spouses of brothers/sisters of U.S. citizens, adjustments
Family-sponsored preferences	Fourth: Brothers/sisters of U.S. citizens (at least 21 years of age) and their spouses and children	F43	Children of brothers/sisters of U.S. citizens, new arrivals
Family-sponsored preferences	Fourth: Brothers/sisters of U.S. citizens (at least 21 years of age) and their spouses and children	F48	Children of brothers/sisters of U.S. citizens, adjustments
Employment-based preferences	First: Priority Work	E11	Aliens with extraordinary ability, new arrivals
Employment-based preferences	First: Priority Work	E16	Aliens with extraordinary ability, adjustments
Employment-based preferences	First: Priority Work	E12	Outstanding professors or researchers, new arrivals
Employment-based preferences	First: Priority Work	E17	Outstanding professors or researchers, adjustments
Employment-based preferences	First: Priority Work	E13	Multinational executives or managers, new arrivals
Employment-based preferences	First: Priority Work	E18	Multinational executives or managers, adjustments
Employment-based preferences	First: Priority Work	E14	Spouses of E11, E12, E13, E16, E17, or E18, new arrivals
Employment-based preferences	First: Priority Work	E19	Spouses of E11, E12, E13, E16, E17, or E18, adjustments
Employment-based preferences	First: Priority Work	E15	Children of E11, E12, E13, E16, E17, or E18, new arrivals
Employment-based preferences	First: Priority Work	E10	Children of E11, E12, E13, E16, E17, or E18, adjustments
	
Employment-based preferences	Second: Professionals with advanced degrees or aliens of exceptional ability	E21	Professionals holding advanced degrees, new arrivals
Employment-based preferences	Second: Professionals with advanced degrees or aliens of exceptional ability	E26	Professionals holding advanced degrees, adjustments
Employment-based preferences	Second: Professionals with advanced degrees or aliens of exceptional ability	ES1	Soviet scientists, new arrivals
Employment-based preferences	Second: Professionals with advanced degrees or aliens of exceptional ability	ES6	Soviet scientists, adjustments
Employment-based preferences	Second: Professionals with advanced degrees or aliens of exceptional ability	E22	Spouses of E21 or E26, new arrivals
Employment-based preferences	Second: Professionals with advanced degrees or aliens of exceptional ability	E27	Spouses of E21 or E26, adjustments
Employment-based preferences	Second: Professionals with advanced degrees or aliens of exceptional ability	E23	Children of E21 or E26, new arrivals
Employment-based preferences	Second: Professionals with advanced degrees or aliens of exceptional ability	E28	Children of E21 or E26, adjustments
						
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EX1	Schedule - A worker, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EX6	Schedule - A worker, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	E31	Skilled workers, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	E36	Skilled workers, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	E32	Professionals with baccalaureate degrees, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	E37	Professionals with baccalaureate degrees, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EW3	Needed unskilled workers, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EW8	Needed unskilled workers, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EC6	Chinese Student Protection Act (CSPA) principals, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EX2	Spouses of EX1 or EX6, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EX7	Spouses of EX1 or EX6, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	E34	Spouses of E31, E32, E36, or E37, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	E39	Spouses of E31, E32, E36, or E37, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EW4	Spouses of EW3 or EW8, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EW9	Spouses of EW3 or EW8, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EC7	Spouses of EC6, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EX3	Children of EX1 or EX6, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EX8	Children of EX1 or EX6, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	E35	Children of E31, E32, E36, or E37, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	E30	Children of E31, E32, E36, or E37, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EW5	Children of EW3 or EW8, new arrivals
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EW0	Children of EW3 or EW8, adjustments
Employment-based preferences	Third: Skilled workers, professionals, and needed unskilled workers	EC8	Children of EC6, adjustments
			
			
			
			
Employment-based preferences	Fourth: Certain special immigrants	BC1	Broadcast (IBCB of BBG) employees, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	BC6	Broadcast (IBCG of BBG) employees, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SD1	Ministers, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SD6	Ministers, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SE1	Employees of U.S. government abroad, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SE6	Employees of U.S. government abroad, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SF1	Former employees of the Panama Canal Company or Canal Zone Government, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SF6	Former employees of the Panama Canal Company or Canal Zone Government, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SG1	Former U.S. government employees in the Panama Canal Zone, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SG6	Former U.S. government employees in the Panama Canal Zone, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SH1	Former employees of the Panama Canal Company or Canal Zone government, employed on April 1, 1979, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SH6	Former employees of the Panama Canal Company or Canal Zone government, employed on April 1, 1979, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SJ6	Foreign medical school graduate who was licensed to practice in the United States on Jan. 9, 1978, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SK1	Retired employees of international organizations, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SK6	Retired employees of international organizations, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SK4	Certain surviving spouses of deceased international organization employees, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SK9	Certain surviving spouses of deceased international organization employees, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SL1	Juvenile court dependents, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SL6	Juvenile court dependents, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SN1	Retired NATO-6 civilian employees, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SN6	Retired NATO-6 civilian employees, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SR1	Religious workers, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SR6	Religious workers, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SN4	Certain surviving spouses of deceased NATO-6 civilian employees, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SN9	Certain surviving spouses of deceased NATO-6 civilian employees, adjustments
Employment-based preferences	Fourth: Certain special immigrants	BC2	Spouses of BC1 or BC6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	BC7	Spouses of BC1 or BC6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SD2	Spouses of SD1 or SD6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SD7	Spouses of SD1 or SD6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SE2	Spouses of SE1 or SE6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SE7	Spouses of SE1 or SE6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SF2	Spouses or children of SF1 or SF6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SF7	Spouses or children of SF1 or SF6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SG2	Spouses or children of SG1 or SG6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SG7	Spouses or children of SG1 or SG6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SH2	Spouses or children of SH1 or SH6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SH7	Spouses or children of SH1 or SH6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SJ2	Spouses or children of SJ6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SJ7	Spouses or children of SJ6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SK2	Spouses of SK1 or SK6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SK7	Spouses of SK1 or SK6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SN2	Spouses of SN1 of SN6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SN7	Spouses of SN1 of SN6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SR2	Spouses of SR1 or SR6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SR7	Spouses of SR1 or SR6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	BC3	Children of BC1 or BC6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	BC8	Children of BC1 or BC6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SD3	Children of SD1 or SD6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SD8	Children of SD1 or SD6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SE3	Children of SE1 or SE6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SE8	Children of SE1 or SE6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SK3	Certain unmarried children of SK1 or SK6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SK8	Certain unmarried children of SK1 or SK6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SR3	Children of SR1 or SR6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SR8	Children of SR1 or SR6, adjustments
Employment-based preferences	Fourth: Certain special immigrants	SN3	Certain unmarried sons/daughters of SN1 or SN6, new arrivals
Employment-based preferences	Fourth: Certain special immigrants	SN8	Certain unmarried sons/daughters of SN1 or SN6, adjustments

Employment-based preferences	Fifth: Employment creation (investors)	C51	Employment creation, not in targeted area, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	C56	Employment creation, not in targeted area, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	E51	Employment creation, new arrivals
Employment-based preferences	Fifth: Employment creation (investors)	E56	Employment creation, adjustments
Employment-based preferences	Fifth: Employment creation (investors)	I51	Employment creation, targeted area, pilot program, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	I56	Employment creation, targeted area, pilot program, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	T51	Employment creation, targeted area, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	T56	Employment creation, targeted area, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	R51	Investor pilot program, not targeted, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	R56	Investor pilot program, not targeted, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	C52	Spouses of C51 or C56, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	C57	Spouses of C51 or C56, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	E52	Spouses of E51 or E56, new arrivals
Employment-based preferences	Fifth: Employment creation (investors)	E57	Spouses of E51 or E56, adjustments
Employment-based preferences	Fifth: Employment creation (investors)	I52	Spouses of I51 or I56, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	I57	Spouses of I51 or I56, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	T52	Spouses of T51 or T56, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	T57	Spouses of T51 or T56, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	R52	Spouses of R51 or R56, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	R57	Spouses of R51 or R56, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	C53	Children of C51 or C56, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	C58	Children of C51 or C56, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	E53	Children of E51 or E56, new arrivals
Employment-based preferences	Fifth: Employment creation (investors)	E58	Children of E51 or E56, adjustments
Employment-based preferences	Fifth: Employment creation (investors)	I53	Children of I51 or I56, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	I58	Children of I51 or I56, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	T53	Children of T51 or T56, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	T58	Children of T51 or T56, adjustments, conditional
Employment-based preferences	Fifth: Employment creation (investors)	R53	Children of R51 or R56, new arrivals, conditional
Employment-based preferences	Fifth: Employment creation (investors)	R58	Children of R51 or R56, adjustments, conditional


Refugees & Asylees	Refugees	CU6	Cuban refugees (P.L. 89-732 of 1966)
Refugees & Asylees	Refugees	CU7	Non-Cuban spouses or children of Cuban refugees
Refugees & Asylees	Refugees	IC6	Indochinese refugees (P.L. 95-145 of 1977)
Refugees & Asylees	Refugees	IC7	Spouses or children of Indochinese refugees not qualified as refugees on their own
Refugees & Asylees	Refugees	R86	Refugee parolees (P.L. 95-412 of 1978)
Refugees & Asylees	Refugees	M83	Refugee escapees previously admitted for lawful permanent resident status, adjustments
Refugees & Asylees	Refugees	Y64	Refugees in the United States prior to July 1, 1953, adjustments
Refugees & Asylees	Refugees	RE6	Other refugees (P.L. 96-212 Refugee Act of 1980)
Refugees & Asylees	Refugees	RE7	Spouses of RE6
Refugees & Asylees	Refugees	RE8	Children of RE6
Refugees & Asylees	Refugees	RE9	Other relatives
			
Refugees & Asylees	Asylees		
Refugees & Asylees	Asylees	AS6	Asylees
Refugees & Asylees	Asylees	GA6	Iraqi asylees
Refugees & Asylees	Asylees	SY6	Syrian asylees
Refugees & Asylees	Asylees	AS7	Spouses of AS6
Refugees & Asylees	Asylees	GA7	Spouses of GA6
Refugees & Asylees	Asylees	SY7	Spouses of SY6
Refugees & Asylees	Asylees	AS8	Children of AS6
Refugees & Asylees	Asylees	GA8	Children of GA6
Refugees & Asylees	Asylees	SY8	Children of SY6

Other	Paroless	PH6	Parolees, Polish/Hungarian
Other	Paroless	LA6	Parolees, Soviet/Indochinese
